"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 06 23:20:23 PST 2022","Sun Mar 06 23:20:23 PST 2022","105","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1iykj6kn949yd_browseFeaturedPlaylists","test_1iykj6kn949yd_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:28 PST 2022","Sun Mar 06 23:20:28 PST 2022","101","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_s50ni86sf4mt_browseFeaturedPlaylists","test_s50ni86sf4mt_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:24 PST 2022","Sun Mar 06 23:20:24 PST 2022","124","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1jicuc18m1mxt_browseFeaturedPlaylists","test_1jicuc18m1mxt_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:29 PST 2022","Sun Mar 06 23:20:29 PST 2022","108","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_t49h5qz26j4y_browseFeaturedPlaylists","test_t49h5qz26j4y_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:31 PST 2022","Sun Mar 06 23:20:31 PST 2022","420","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_ubp71r92ttma_browseFeaturedPlaylists","test_ubp71r92ttma_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:24 PST 2022","Sun Mar 06 23:20:24 PST 2022","111","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_1ji78inng7xpf_browseFeaturedPlaylists","test_1ji78inng7xpf_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:34 PST 2022","Sun Mar 06 23:20:34 PST 2022","110","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_vbpp72bstant_browseFeaturedPlaylists","test_vbpp72bstant_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:26 PST 2022","Sun Mar 06 23:20:26 PST 2022","104","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_r1dcbgt6y3p4_browseFeaturedPlaylists","test_r1dcbgt6y3p4_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:30 PST 2022","Sun Mar 06 23:20:30 PST 2022","110","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_trtl9ibjgn6s_browseFeaturedPlaylists","test_trtl9ibjgn6s_browseFeaturedPlaylists",""
"failed","Sun Mar 06 23:20:29 PST 2022","Sun Mar 06 23:20:29 PST 2022","103","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","","spotify_browseFeaturedPlaylists.Spotify_browseFeaturedPlaylists_1646637616576","test_to2b0wnfv7zp_browseFeaturedPlaylists","test_to2b0wnfv7zp_browseFeaturedPlaylists",""
