"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 07 21:26:02 PST 2022","Mon Mar 07 21:26:02 PST 2022","39","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_ts4n9j0tzvp1_SETOPERATIONID","test_ts4n9j0tzvp1_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:17 PST 2022","Mon Mar 07 23:46:17 PST 2022","38","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_1jyiulo3m2mnq_SETOPERATIONID","test_1jyiulo3m2mnq_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:58 PST 2022","Mon Mar 07 21:25:58 PST 2022","35","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_s4xeij6346k5_SETOPERATIONID","test_s4xeij6346k5_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:54 PST 2022","Mon Mar 07 21:25:54 PST 2022","259","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_qdss8jwnttf6_SETOPERATIONID","test_qdss8jwnttf6_SETOPERATIONID",""
"passed","Mon Mar 07 23:46:25 PST 2022","Mon Mar 07 23:46:25 PST 2022","33","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_sopnet9l2o8j_SETOPERATIONID","test_sopnet9l2o8j_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:58 PST 2022","Mon Mar 07 21:25:58 PST 2022","130","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_sksa4icd7b5g_SETOPERATIONID","test_sksa4icd7b5g_SETOPERATIONID",""
"passed","Mon Mar 07 21:26:02 PST 2022","Mon Mar 07 21:26:02 PST 2022","28","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_u7u2d94b9yeb_SETOPERATIONID","test_u7u2d94b9yeb_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:30 PST 2022","Mon Mar 07 23:46:31 PST 2022","29","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_u7ra7o0b7c4z_SETOPERATIONID","test_u7ra7o0b7c4z_SETOPERATIONID",""
"failed","Mon Mar 07 21:26:02 PST 2022","Mon Mar 07 21:26:02 PST 2022","79","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_u7oj7sfm5yk7_SETOPERATIONID","test_u7oj7sfm5yk7_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:58 PST 2022","Mon Mar 07 21:25:58 PST 2022","81","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_s4uodggrniat_SETOPERATIONID","test_s4uodggrniat_SETOPERATIONID",""
"passed","Mon Mar 07 23:46:30 PST 2022","Mon Mar 07 23:46:30 PST 2022","31","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_t8cgboac09q0_SETOPERATIONID","test_t8cgboac09q0_SETOPERATIONID",""
"failed","Mon Mar 07 21:26:01 PST 2022","Mon Mar 07 21:26:01 PST 2022","25","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_to2bf3acip15_SETOPERATIONID","test_to2bf3acip15_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:31 PST 2022","Mon Mar 07 23:46:31 PST 2022","29","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_u7wvs01bos4j_SETOPERATIONID","test_u7wvs01bos4j_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:49 PST 2022","Mon Mar 07 21:25:49 PST 2022","40","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1iuqgduzorh44_SETOPERATIONID","test_1iuqgduzorh44_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:32 PST 2022","Mon Mar 07 23:46:32 PST 2022","31","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_vevbycicp4dg_SETOPERATIONID","test_vevbycicp4dg_SETOPERATIONID",""
"failed","Mon Mar 07 21:26:00 PST 2022","Mon Mar 07 21:26:00 PST 2022","281","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_t4tfgemby4vn_SETOPERATIONID","test_t4tfgemby4vn_SETOPERATIONID",""
"broken","Mon Mar 07 22:55:03 PST 2022","Mon Mar 07 22:56:18 PST 2022","75011","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_1hr5wnasuxzs3_SETOPERATIONID","test_1hr5wnasuxzs3_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:22 PST 2022","Mon Mar 07 23:46:22 PST 2022","28","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_s4scw079lfeb_SETOPERATIONID","test_s4scw079lfeb_SETOPERATIONID",""
"failed","Mon Mar 07 21:26:01 PST 2022","Mon Mar 07 21:26:01 PST 2022","75","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_t8cd7hfq9aw4_SETOPERATIONID","test_t8cd7hfq9aw4_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:18 PST 2022","Mon Mar 07 23:46:18 PST 2022","43","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_qdpxntnp095x_SETOPERATIONID","test_qdpxntnp095x_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:17 PST 2022","Mon Mar 07 23:46:17 PST 2022","35","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_1jyisq6x8tz5c_SETOPERATIONID","test_1jyisq6x8tz5c_SETOPERATIONID",""
"broken","Mon Mar 07 22:40:01 PST 2022","Mon Mar 07 22:41:16 PST 2022","75014","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_1h7zas6hu1hrm_SETOPERATIONID","test_1h7zas6hu1hrm_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:58 PST 2022","Mon Mar 07 21:25:58 PST 2022","51","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_sksbrbh34gtw_SETOPERATIONID","test_sksbrbh34gtw_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:58 PST 2022","Mon Mar 07 21:25:58 PST 2022","45","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_skpicm5c1jcn_SETOPERATIONID","test_skpicm5c1jcn_SETOPERATIONID",""
"passed","Mon Mar 07 23:46:15 PST 2022","Mon Mar 07 23:46:15 PST 2022","28","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_1jer1arx7oisx_SETOPERATIONID","test_1jer1arx7oisx_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:49 PST 2022","Mon Mar 07 21:25:49 PST 2022","71","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1if0krhbt61is_SETOPERATIONID","test_1if0krhbt61is_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:28 PST 2022","Mon Mar 07 23:46:28 PST 2022","25","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_t4ygap199lyd_SETOPERATIONID","test_t4ygap199lyd_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:32 PST 2022","Mon Mar 07 23:46:32 PST 2022","36","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_vbpotb3tr3hi_SETOPERATIONID","test_vbpotb3tr3hi_SETOPERATIONID",""
"passed","Mon Mar 07 23:46:21 PST 2022","Mon Mar 07 23:46:21 PST 2022","58","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_s12t0bkxxnw4_SETOPERATIONID","test_s12t0bkxxnw4_SETOPERATIONID",""
"failed","Mon Mar 07 21:26:01 PST 2022","Mon Mar 07 21:26:01 PST 2022","46","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_trrbf5s01oa8_SETOPERATIONID","test_trrbf5s01oa8_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:49 PST 2022","Mon Mar 07 21:25:49 PST 2022","132","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1iev0tqk80y7m_SETOPERATIONID","test_1iev0tqk80y7m_SETOPERATIONID",""
"broken","Mon Mar 07 22:32:31 PST 2022","Mon Mar 07 22:33:46 PST 2022","75018","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_1h7rfwnvy3syt_SETOPERATIONID","test_1h7rfwnvy3syt_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:58 PST 2022","Mon Mar 07 21:25:58 PST 2022","38","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_s4xdqekt2hpv_SETOPERATIONID","test_s4xdqekt2hpv_SETOPERATIONID",""
"broken","Mon Mar 07 23:10:03 PST 2022","Mon Mar 07 23:11:18 PST 2022","75010","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_1hrrl8ipqqa7n_SETOPERATIONID","test_1hrrl8ipqqa7n_SETOPERATIONID",""
"passed","Mon Mar 07 21:26:02 PST 2022","Mon Mar 07 21:26:02 PST 2022","37","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_u7wwhb7yg01k_SETOPERATIONID","test_u7wwhb7yg01k_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:48 PST 2022","Mon Mar 07 21:25:48 PST 2022","60","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1hv0hax1ruxiu_SETOPERATIONID","test_1hv0hax1ruxiu_SETOPERATIONID",""
"broken","Mon Mar 07 23:31:20 PST 2022","Mon Mar 07 23:32:35 PST 2022","75011","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_1ibesw1if78z6_SETOPERATIONID","test_1ibesw1if78z6_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:22 PST 2022","Mon Mar 07 23:46:22 PST 2022","25","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_sl6q1hc88x0z_SETOPERATIONID","test_sl6q1hc88x0z_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:48 PST 2022","Mon Mar 07 21:25:48 PST 2022","52","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1hv89j0k23m7n_SETOPERATIONID","test_1hv89j0k23m7n_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:49 PST 2022","Mon Mar 07 21:25:49 PST 2022","43","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1iut85mk0oy0m_SETOPERATIONID","test_1iut85mk0oy0m_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:22 PST 2022","Mon Mar 07 23:46:22 PST 2022","35","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_skjzyy86nodz_SETOPERATIONID","test_skjzyy86nodz_SETOPERATIONID",""
"failed","Mon Mar 07 21:26:04 PST 2022","Mon Mar 07 21:26:05 PST 2022","35","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_vbmxf6j32uk6_SETOPERATIONID","test_vbmxf6j32uk6_SETOPERATIONID",""
