"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 06 23:05:49 PST 2022","Sun Mar 06 23:05:49 PST 2022","101","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_uvjq425ywzfp_GetAlbums","test_uvjq425ywzfp_GetAlbums",""
"failed","Sun Mar 06 23:05:41 PST 2022","Sun Mar 06 23:05:41 PST 2022","111","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_qxfjis47qoo6_GetAlbums","test_qxfjis47qoo6_GetAlbums",""
"failed","Sun Mar 06 23:05:43 PST 2022","Sun Mar 06 23:05:44 PST 2022","103","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_s102skkda14g_GetAlbums","test_s102skkda14g_GetAlbums",""
"failed","Sun Mar 06 23:05:32 PST 2022","Sun Mar 06 23:05:33 PST 2022","1536","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1h7lgp16e4tph_GetAlbums","test_1h7lgp16e4tph_GetAlbums",""
"failed","Sun Mar 06 23:05:39 PST 2022","Sun Mar 06 23:05:39 PST 2022","101","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1iyezxzus5ild_GetAlbums","test_1iyezxzus5ild_GetAlbums",""
"failed","Sun Mar 06 23:05:47 PST 2022","Sun Mar 06 23:05:47 PST 2022","105","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_trz6rhtdhqgp_GetAlbums","test_trz6rhtdhqgp_GetAlbums",""
"failed","Sun Mar 06 23:05:47 PST 2022","Sun Mar 06 23:05:47 PST 2022","94","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_trtlnfu7i4hg_GetAlbums","test_trtlnfu7i4hg_GetAlbums",""
"failed","Sun Mar 06 23:05:34 PST 2022","Sun Mar 06 23:05:34 PST 2022","171","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1h82jsbp77587_GetAlbums","test_1h82jsbp77587_GetAlbums",""
"failed","Sun Mar 06 23:05:45 PST 2022","Sun Mar 06 23:05:45 PST 2022","96","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_sksc2hmcl35l_GetAlbums","test_sksc2hmcl35l_GetAlbums",""
"failed","Sun Mar 06 23:05:44 PST 2022","Sun Mar 06 23:05:45 PST 2022","191","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_s4p1n0rj7l9h_GetAlbums","test_s4p1n0rj7l9h_GetAlbums",""
"failed","Sun Mar 06 23:05:43 PST 2022","Sun Mar 06 23:05:43 PST 2022","96","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_rkxbuf9b1sgy_GetAlbums","test_rkxbuf9b1sgy_GetAlbums",""
"failed","Sun Mar 06 23:05:37 PST 2022","Sun Mar 06 23:05:37 PST 2022","192","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1iesrr1opeg50_GetAlbums","test_1iesrr1opeg50_GetAlbums",""
"failed","Sun Mar 06 23:05:43 PST 2022","Sun Mar 06 23:05:43 PST 2022","110","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_s0x9gdzzb6n5_GetAlbums","test_s0x9gdzzb6n5_GetAlbums",""
"failed","Sun Mar 06 23:05:39 PST 2022","Sun Mar 06 23:05:40 PST 2022","408","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1jidbvp0370vr_GetAlbums","test_1jidbvp0370vr_GetAlbums",""
"failed","Sun Mar 06 23:05:41 PST 2022","Sun Mar 06 23:05:42 PST 2022","126","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_qxwmh33r9nao_GetAlbums","test_qxwmh33r9nao_GetAlbums",""
"failed","Sun Mar 06 23:05:48 PST 2022","Sun Mar 06 23:05:48 PST 2022","103","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_ts4qp6mfl4kl_GetAlbums","test_ts4qp6mfl4kl_GetAlbums",""
"failed","Sun Mar 06 23:05:47 PST 2022","Sun Mar 06 23:05:48 PST 2022","224","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_ts2frasn0mle_GetAlbums","test_ts2frasn0mle_GetAlbums",""
"failed","Sun Mar 06 23:05:37 PST 2022","Sun Mar 06 23:05:37 PST 2022","451","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1ibersurnlvsh_GetAlbums","test_1ibersurnlvsh_GetAlbums",""
"failed","Sun Mar 06 23:05:39 PST 2022","Sun Mar 06 23:05:39 PST 2022","127","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1jeqjfxmvhyra_GetAlbums","test_1jeqjfxmvhyra_GetAlbums",""
"failed","Sun Mar 06 23:05:36 PST 2022","Sun Mar 06 23:05:36 PST 2022","355","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1hv602udnnxh1_GetAlbums","test_1hv602udnnxh1_GetAlbums",""
"failed","Sun Mar 06 23:05:40 PST 2022","Sun Mar 06 23:05:41 PST 2022","111","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1k254ei8b7sc2_GetAlbums","test_1k254ei8b7sc2_GetAlbums",""
"failed","Sun Mar 06 23:05:44 PST 2022","Sun Mar 06 23:05:44 PST 2022","149","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_s13chnhgj1o2_GetAlbums","test_s13chnhgj1o2_GetAlbums",""
"failed","Sun Mar 06 23:05:40 PST 2022","Sun Mar 06 23:05:40 PST 2022","125","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1jy5gvfhxp4qe_GetAlbums","test_1jy5gvfhxp4qe_GetAlbums",""
"failed","Sun Mar 06 23:05:42 PST 2022","Sun Mar 06 23:05:42 PST 2022","126","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_r1fk80ca8r3s_GetAlbums","test_r1fk80ca8r3s_GetAlbums",""
"failed","Sun Mar 06 23:05:39 PST 2022","Sun Mar 06 23:05:39 PST 2022","95","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1iyq29khe2tep_GetAlbums","test_1iyq29khe2tep_GetAlbums",""
"failed","Sun Mar 06 23:05:49 PST 2022","Sun Mar 06 23:05:49 PST 2022","111","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_us06iv3ka6nn_GetAlbums","test_us06iv3ka6nn_GetAlbums",""
"failed","Sun Mar 06 23:05:36 PST 2022","Sun Mar 06 23:05:36 PST 2022","151","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1hvb1dmotzbdt_GetAlbums","test_1hvb1dmotzbdt_GetAlbums",""
"failed","Sun Mar 06 23:05:49 PST 2022","Sun Mar 06 23:05:49 PST 2022","99","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_uv8n2q62b777_GetAlbums","test_uv8n2q62b777_GetAlbums",""
